name,ID in model,REFave,REFstd,T33ave,T33std,T36ave,T36std,T38ave,T38std,O200ave,O200std,O400ave,O400std,O600ave,O600std,E20ave,E20std,E40ave,E40std,E60ave,E60std
glucose,r_1714,-1.070928479,0.007312341,-1.075707498,0.038149138,-1.11071699,0.016377629,-7.754721613,0.613839701,-1.119457197,0.01903402,-1.102893731,0.069598513,-1.367977314,0.009972726,-0.330985861,0.00051098,-0.612502013,0.133619889,-1.239193031,0.168569827
glycerol,r_1808,0.000857154,0.000990121,0.001741422,0.001855935,0.00304475,0.004831289,0.743250978,0.131278955,0.0043141,0.001640461,0.028324859,0.024783497,0.082729509,0.010175159,0,0,0.010382822,0.002864549,0.022576664,0.001026663
acetate,r_1634,0,0,0.00173733,0.003884787,0,0,0.139480174,0.025972187,0,0,0,0,0,0,0.003190668,0.000819183,0,0,0.018766014,0.03250369
ethanol,r_1761,0,0,0,0,0.002303701,0.005151233,10.70292441,1.040989497,0,0,0,0,0,0,-2.443874722,0.004185378,-1.748647113,0.394497834,-0.666640565,0.305302967
pyruvate,r_2033,4.03297E-05,8.06594E-05,0.000131086,0.000176257,2.49822E-05,5.58618E-05,0,0,0.0001992,0.000173047,4.82897E-05,4.55261E-05,0,0,0,0,0,0,0,0
succinate,r_2056,0,0,0,0,0,0,0,0,0.000479765,0.000830977,0,0,0,0,0,0,0,0,0,0
O2,r_1992,-2.446472988,0.07605634,-2.32888131,0.529643004,-2.592522769,0.336234417,-7.545263812,0.632511024,-2.572662407,0.087161371,-2.364637467,0.130237192,-4.08889828,0.322652032,-4.650073884,0.241821377,-5.033808057,0.504406088,-5.265098974,0.876713547
CO2,r_1672,2.62755453,0.03121809,2.716737994,0.133977611,2.940085815,0.113708009,15.09052762,1.265022047,2.877416897,0.064921965,2.866016838,0.313085684,4.118679926,0.140515979,2.982282896,0.111973289,2.779085985,0.218030056,3.42415554,0.480799539
biomass,r_2111,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0
